292.94489,298.06558,626.01738,633.40359,653.85532,660.42428,981.91056,1000.8338,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278.06903,278.28627,368.91732,378.31043,531.6415,532.92426,743.29672,746.46223,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1706.5969,1725.2693,1918.9246,1927.6452,2229.4143,2244.497,2258.0177,2278.7074,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1597.9141,1606.19,2470.3971,2475.135,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1354.8003,1359.2589,1532.9693,1542.9417,1543.9348,1553.9279,1653.7762,1663.7486,1694.7107,1704.6521,1907.4935,1913.328,2041.1073,2051.0798,2214.8281,2224.7901,2244.7764,2254.7384,2315.6591,2325.6212,2365.5109,2372.535,2385.5385,2395.5109,2406.4867,2416.4488,2424.4867,2434.4281,2492.3385,2502.3109,2536.273,2546.235,2683.0247,2693.0075,2703.0006,2712.942,2769.8696,2779.8317,2800.8213,2810.773,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1223.4934,1225.221,1287.383,1288.0037,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
