139.41252,142.82591,187.13493,189.73561,200.8535,204.66512,263.26161,265.95981,319.51161,323.97624,344.15539,350.5875,353.76571,362.6067,417.31742,423.9387,430.90051,435.81918,464.00693,468.15626,520.69772,523.80027,548.38099,554.00593,627.9499,634.49551,634.96216,639.225,0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120.84788,121.40281,142.81793,146.24838,189.74706,190.3146,204.71747,205.57508,363.4517,365.38133,371.43508,373.07463,398.38685,400.74529,444.28181,444.91241,468.25716,469.87149,499.20693,501.23746,584.06025,586.06556,658.53393,661.19505,748.74733,752.45525,0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3069.7657,3081.9489,3113.0121,3119.4442,3160.925,3166.3608,3179.3385,3189.3398,3199.5176,3204.6885,3223.6695,3240.1912,3252.1348,3259.7145,3305.6095,3326.4193,0,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1726.0235,1728.5585,1761.8415,1765.7638,1902.7046,1903.6883,1949.6211,1955.3722,2010.5369,2013.0341,2095.365,2096.2479,2166.2443,2169.763,2264.0879,2266.1941,2295.0125,2296.5133,2322.9606,2325.4452,2400.8395,2403.652,3540.8353,3542.5632,0,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2965.8305,2975.7963,2985.7893,2995.7587,3023.7237,3031.9172,3083.6144,3093.5862,3106.3278,3112.5455,3135.5623,3142.6377,3189.4659,3196.4277,3213.3656,3221.2977,3241.3768,3247.8971,3285.5439,3291.1814,3839.9408,3847.2305,4048.3409,4052.8686,4082.0401,4089.0902,4165.9349,4170.2734,4199.6341,4209.6066,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1017.498,1022.4611,1076.2325,1077.1637,1086.1587,1086.7373,1116.109,1118.2787,1133.9997,1135.6812,1159.0412,1162.2505,1203.9441,1204.3328,1234.9069,1236.1183,1291.7972,1295.1964,1337.7036,1338.5805,0,,,,,,,,,,
